brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_bands,cell_tac,cell_nrarfcn,cell_csiRsrp,cell_csiRsrq,cell_csiSinr,cell_ssRsrp,cell_ssRsrq,cell_ssSinr
OPPO,PFDM00,11,5G,China Mobile,jiangsusheng,suzhoushi,36.4,8cd33c82f01f0f3b236a0b54372251a7,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,0,[],1048764,504990,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;38;38;38;38;38;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PDKT00,11,5G,China Telecom,henansheng,zhumadianshi,33.1,f569c1d882c08625eb1f07815c20f85d,96,-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],4219904,422890,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;28;28
OPPO,PFVM10,11,5G,China Telecom,henansheng,nanyangshi,366.5,b1cf4919e047a2d115ae13937d2e2e63,96,-44;-44,4,460,1,[],4205312,633984,-44,-3,2147483647,-44;-44,-3;-3,40;40
vivo,V2057A,10,5G,China Mobile,shanghaishi,shanghaishi,366.4,e1dea452098c429e8b8919eb912768b6,97,80;80;80;80;71;71;71;71;71;68;68;68;68;70;70;70;70;70;69;69;69;69,0,460,0,['Added in API level 30'],161807,504990,255,255,255,80;80;80;80;71;71;71;71;71;68;68;68;68;70;70;70;70;70;69;69;69;69,81;81;81;81;72;72;72;72;72;67;67;67;67;68;68;68;68;68;66;66;66;66,75;75;75;75;62;62;62;62;62;50;50;50;50;51;51;51;51;51;53;53;53;53
vivo,V2031A,10,5G,China Unicom,jilinsheng,changchunshi,295,e178da9537608a2d00f1f90a0115310a,97,54;54,0,460,1,['Added in API level 30'],8,633984,255,255,255,54;54,69;69,48;48
OPPO,PDSM00,11,5G,China Unicom,guangdongsheng,guangzhoushi,3.1,2377b89a8f825b066120a95ec2e0b5ff,96,-44;-44,4,460,11,[],7710722,627264,-44,-3,2147483647,-44;-44,-3;-3,40;40
Xiaomi,M2012K10C,11,5G,China Telecom,jilinsheng,changchunshi,2.1,aa9ace2ac6021737f464f054a5327ef6,96,-44;-44;-44;-44;-44;-44,4,460,1,[],532738,633984,-44,-3,2147483647,-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3,40;40;40;40;40;40
OPPO,PDCM00,11,5G,China Mobile,chongqingshi,chongqingshi,196.3,372b8cc07cc22e44845ba782d7101cc9,96,-44;-44;-44;-44;-44,4,460,0,[],2490452,504990,-44,-3,2147483647,-44;-44;-44;-44;-44,-3;-3;-3;-3;-3,40;40;40;40;40
OPPO,PDCM00,11,5G,China Telecom,hebeisheng,hengshuishi,352.8,1c7bf27bf55393042b20dfc164eee47a,96,-44;-44,4,460,1,[],2359297,633984,-44,-3,2147483647,-44;-44,-3;-3,40;40
Xiaomi,M2012K10C,11,5G,China Unicom,henansheng,anyangshi,1.3,3954a05fbad502ff256a763d9e14b014,96,-44;-44,4,460,1,[],4212224,633984,-44,-3,2147483647,-44;-44,-3;-3,40;40
